,0,1,2,3,4,5,6
1,Knapsack,40,0.29341004828295725,0.030989885330200195,True,1.0,1337
2,Knapsack,40,0.2672499492854862,0.016739845275878906,True,1.0,1338
3,Knapsack,41,0.22680995166798243,0.03154301643371582,True,1.0,1337
4,Knapsack,41,0.262334686674202,0.4158642292022705,True,1.0,1338
5,Knapsack,42,0.2800270392816344,0.04829907417297363,True,1.0,1337
6,Knapsack,42,0.19981708149473237,0.006075859069824219,True,1.0,1338
7,Knapsack,43,0.13057464753756298,0.01137685775756836,True,1.0,1337
8,Knapsack,43,0.20512044098639973,0.008219003677368164,True,1.0,1338
9,Knapsack,44,0.2990090714743542,1.9783248901367188,True,1.0,1337
10,Knapsack,44,0.23260948707084828,0.12929892539978027,True,1.0,1338
11,Knapsack,45,0.2642111991869217,0.07295823097229004,True,1.0,1337
12,Knapsack,45,0.2437641449187174,0.5057930946350098,True,1.0,1338
13,Knapsack,46,0.2399018793759164,0.2191169261932373,True,1.0,1337
14,Knapsack,46,0.15192792797330795,0.004662990570068359,True,1.0,1338
15,Knapsack,47,0.04940272542313537,0.0021071434020996094,True,1.0,1337
16,Knapsack,47,0.25424387190127984,0.23658013343811035,True,1.0,1338
17,Knapsack,48,0.22633721134696416,0.03122878074645996,True,1.0,1337
18,Knapsack,48,0.04837350197682005,0.0018658638000488281,True,1.0,1338
19,Knapsack,49,0.2001501004501552,0.032978057861328125,True,1.0,1337
20,Knapsack,49,0.2093344457692378,0.01890420913696289,True,1.0,1338
