,Lattice,Dimensions,Exp Constant,Time (s),Verdict,Ratio,Seed
1,Challange,40,0.1610735873962182,0.0014121532440185547,True,0.9999941758712168,88834642
2,Knapsack,40,0.21199450660072747,0.004019260406494141,True,1.0,88834642
3,Challange,40,0.16065661886755245,0.0012929439544677734,True,1.0,88834644
4,Knapsack,40,0.25661106500566505,0.012574911117553711,True,1.0,88834644
5,Challange,40,0.1201838730514401,0.002218961715698242,True,0.9999941758712168,88834646
6,Knapsack,40,0.2481203125901445,0.008955240249633789,True,1.0,88834646
7,Challange,40,0.18648579046593244,0.01050114631652832,True,1.0,88834648
8,Knapsack,40,0.23919890188538667,0.07574105262756348,True,1.0,88834648
9,Challange,40,0.1685366746600287,0.015573978424072266,True,0.9999941758712168,88834650
10,Knapsack,40,0.19812031259014454,0.0028009414672851562,True,1.0,88834650
11,Challange,40,0.15893880011545208,0.0014641284942626953,True,1.0,88834652
12,Knapsack,40,0.2650210528596825,0.014745235443115234,True,1.0,88834652
13,Challange,40,0.11308904890142532,0.0008387565612792969,True,0.9999941758712168,88834654
14,Knapsack,40,0.25471472114268373,0.010267972946166992,True,1.0,88834654
15,Challange,40,0.19018325784374027,0.0024492740631103516,True,1.0,88834656
16,Knapsack,40,0.10218657103125847,0.0021479129791259766,True,1.0,88834656
17,Challange,40,0.1688721875540867,0.0015828609466552734,True,0.9999941758712168,88834658
18,Knapsack,40,0.2126948660049674,0.009599924087524414,True,1.0,88834658
19,Challange,40,0.10619818783608963,0.0008378028869628906,True,0.9999941758712168,88834660
20,Knapsack,40,0.21733717393748314,0.004350900650024414,True,1.0,88834660
21,Challange,42,0.17913242752516698,0.0025861263275146484,True,0.9999941758712168,88834664
22,Knapsack,42,0.14690297622481696,0.0017580986022949219,True,1.0,88834664
23,Challange,42,0.0881057075747879,0.0009849071502685547,True,0.9999941758712168,88834666
24,Knapsack,42,0.2612614234777689,0.15912699699401855,True,1.0,88834666
25,Challange,42,0.11321160719436829,0.004168033599853516,True,0.9999941758712168,88834668
26,Knapsack,42,0.18041497209608925,0.003034830093383789,True,1.0,88834668
27,Challange,42,0.0906513076680382,0.002613067626953125,True,0.9999941758712168,88834670
28,Knapsack,42,0.29339265565708256,0.05094194412231445,True,1.0,88834670
29,Challange,42,0.1517866531273077,0.001934051513671875,True,0.9999941758712168,88834672
30,Knapsack,42,0.2662622619257799,0.02581310272216797,True,1.0,88834672
31,Challange,42,0.17740978837696023,0.003175973892211914,True,0.9999941758712168,88834674
32,Knapsack,42,0.2559093535616538,0.02000904083251953,True,1.0,88834674
33,Challange,42,0.0,0.0010576248168945312,True,0.9999941758712168,88834676
34,Knapsack,42,0.19268469383142506,0.0043697357177734375,True,1.0,88834676
35,Challange,42,0.1825079980282185,0.0037097930908203125,True,0.9999941758712168,88834678
36,Knapsack,42,0.11321160719436829,0.0016558170318603516,True,1.0,88834678
37,Challange,42,0.047619047619047616,0.001196146011352539,True,0.9999941758712168,88834680
38,Knapsack,42,0.16557610262825892,0.0027379989624023438,True,1.0,88834680
39,Challange,42,0.0881057075747879,0.0024950504302978516,True,0.9999941758712168,88834682
40,Knapsack,42,0.12584290997291067,0.0018780231475830078,True,1.0,88834682
41,Challange,44,0.13079289777644246,0.0021131038665771484,True,1.0,88834686
42,Knapsack,44,0.20363640754700185,0.008273839950561523,True,1.0,88834686
43,Challange,44,0.11927107985099057,0.0018200874328613281,True,0.9999767040954168,88834688
44,Knapsack,44,0.12760704191170927,0.002329111099243164,True,1.0,88834688
45,Challange,44,0.11152024080928452,0.0020918846130371094,True,0.9999941758712168,88834690
46,Knapsack,44,0.22740055793622452,0.01618790626525879,True,1.0,88834690
47,Challange,44,0.13687199575064668,0.0022351741790771484,True,0.9999941758712168,88834692
48,Knapsack,44,0.1706316963681522,0.0038170814514160156,True,1.0,88834692
49,Challange,44,0.022727272727272728,0.0013890266418457031,True,0.9999941758712168,88834694
50,Knapsack,44,0.13532264341788353,0.0024237632751464844,True,1.0,88834694
51,Challange,44,0.1331359317074448,0.0024640560150146484,True,0.9999941758712168,88834696
52,Knapsack,44,0.1848733254595665,0.004955768585205078,True,1.0,88834696
53,Challange,44,0.14790442364087947,0.01692509651184082,True,0.9999941758712168,88834698
54,Knapsack,44,0.21326600664713755,0.010245800018310547,True,1.0,88834698
55,Challange,44,0.12012277770141475,0.001772165298461914,True,0.9999941758712168,88834700
56,Knapsack,44,0.3045138659745287,0.15799784660339355,True,1.0,88834700
