,Lattice,Dimensions,Exp Constant,Time (s),Verdict,Ratio,Seed
1,Challange,40,0.1042481250360578,0.00043320655822753906,True,0.9999941758712168,220614721
3,Challange,42,0.0881057075747879,0.0004239082336425781,True,1.0,9721
5,Challange,44,0.11363636363636363,0.0006799697875976562,True,0.9999941758712168,6221
7,Challange,46,0.08695652173913043,0.0005469322204589844,True,0.9999941758712168,220614721
9,Challange,48,0.058486560876200085,0.0006089210510253906,True,0.9999941758712168,220614721
11,Challange,50,0.06643856189774724,0.0004851818084716797,True,1.0,3121
13,Challange,52,0.053987594654953924,0.0005960464477539062,True,0.9999941758712168,6221
15,Challange,54,0.0723498258446022,0.0007960796356201172,True,0.9999941758712168,7121
17,Challange,56,0.05932014455156004,0.0005869865417480469,True,0.9999941758712168,6221
19,Challange,58,0.057274622325644176,0.0008330345153808594,True,0.9999941758712168,5021
21,Challange,60,0.08096634991879287,0.0008080005645751953,True,0.9999941758712168,7121
23,Challange,62,0.04527991809770329,0.0012159347534179688,True,1.0,4421
25,Challange,64,0.015625,0.0006358623504638672,True,0.9999941758712168,6221
27,Challange,66,0.08063527416496004,0.0011799335479736328,True,0.9999941758712168,2221
29,Challange,68,0.05272003677531112,0.0008130073547363281,True,0.9999941758712168,7121
31,Challange,70,0.07653645720882978,0.0012061595916748047,True,0.9999941758712168,7121
33,Challange,72,0.0744104445085845,0.0013797283172607422,True,0.9999941758712168,2221
35,Challange,74,0.02702702702702703,0.0008409023284912109,True,1.0,9721
37,Challange,76,0.039473684210526314,0.00102996826171875,True,0.9999941758712168,6221
39,Challange,78,0.03599172976996928,0.0010721683502197266,True,0.9999941758712168,7121
