,Lattice,Dimensions,Exp Constant,Time (s),Verdict,Ratio,Seed
1,Challange,78,0.07572936661036563,0.007220029830932617,True,0.9999941758712168,88834680
2,Knapsack,78,0.1339369644385853,0.08477497100830078,True,1.0,88834680
3,Challange,78,0.058781570522066104,0.006258249282836914,True,0.9999475865040712,88834681
4,Knapsack,78,0.12687605646038386,0.012953042984008789,True,1.0,88834681
5,Challange,78,0.06228180762984067,0.006918191909790039,True,0.9999941758712168,88834682
6,Knapsack,78,0.11249726999488684,0.007232189178466797,True,1.0,88834682
7,Challange,78,0.042588821729325155,0.00431513786315918,True,0.9999941758712168,88834683
8,Knapsack,78,0.13152007735756324,0.016590118408203125,True,1.0,88834683
9,Challange,78,0.0826018396903683,0.012975692749023438,True,0.9999941758712168,88834684
10,Knapsack,78,0.11942499438790129,0.11679887771606445,True,1.0,88834684
11,Challange,78,0.06096009618158293,0.00839996337890625,True,1.0,88834685
12,Knapsack,78,0.0708148968725258,0.003986835479736328,True,1.0,88834685
13,Challange,78,0.0641025641025641,0.00745391845703125,True,1.0,88834686
14,Knapsack,78,0.11348396206943664,0.010965824127197266,True,1.0,88834686
15,Challange,78,0.08480397236045138,0.030905723571777344,True,1.0,88834687
16,Knapsack,78,0.11904361819054166,0.03736686706542969,True,1.0,88834687
17,Challange,78,0.04744153484796272,0.004784822463989258,True,0.9999767040954168,88834688
18,Knapsack,78,0.10137039225139126,0.03507518768310547,True,1.0,88834688
19,Challange,78,0.07510232045035349,0.007873058319091797,True,0.9999941758712168,88834689
20,Knapsack,78,0.15967709421169904,0.11000299453735352,True,1.0,88834689
